Name,Has_Broader,Broader_Term
Calodendrum capense,yes,Calodendrum
CALOPHYLLACEAE,no,
Calorophus,yes,RESTIONACEAE
Calorophus minor,yes,Calorophus
Calostemma luteum,yes,Calostemma
Calothamnus gilesii,yes,Calothamnus
Calothamnus sanguineus,yes,Calothamnus
Calotis cuneifolia,yes,Calotis
Calotropis,yes,APOCYNACEAE
Calotropis procera,yes,Calotropis
Calyptranthes,yes,MYRTACEAE
Camelina,yes,BRASSICACEAE
Camelina sativa,yes,Camelina
Camellia assimilis,yes,Camellia
Camellia hongkongensis,yes,Camellia
Camellia lutchuensis,yes,Camellia
Camellia rosiflora,yes,Camellia
Camellia rusticana,yes,Camellia
Camellia taliensis,yes,Camellia
Camellia terminalis,yes,Camellia
Camissonia pallida,yes,Camissonia
Campanula cenisia,yes,Campanula
Campanula cymbalaria,yes,Campanula
Campanula exigua,yes,Campanula
Campanula leucosiphon,yes,Campanula
Campanula mairei,yes,Campanula
Campanula napuligera,yes,Campanula
Campanula portenschlagiana,yes,Campanula
Campsis grandiflora,yes,Campsis
Campyloneurum costatum,yes,Campyloneurum
Candollea,yes,STYLIDIACEAE
Candollea juncea,yes,Candollea
Capparis angulata,yes,Capparis
Capparis ovalifolia,yes,Capparis
Capparis spinosa var. inermis,no,
Capsicum molle,yes,Capsicum
Capsicum pubescens,yes,Capsicum
Caragana arborescens,yes,Caragana
Caragana turkestanica,yes,Caragana
Caralluma adenensis,yes,Caralluma
Caralluma carnosa,yes,Caralluma
Caralluma chrysostephana,yes,Caralluma
Caralluma dioscoridis,yes,Caralluma
Caralluma dodsoniana,yes,Caralluma
Caralluma edithae,yes,Caralluma
Caralluma europaea,yes,Caralluma
Caralluma fosteri,yes,Caralluma
Caralluma frerei,yes,Caralluma
Caralluma gracilis,yes,Caralluma
Caralluma hexagona,yes,Caralluma
Caralluma knobelii,yes,Caralluma
Caralluma maculata,yes,Caralluma
Caralluma mammillaris,yes,Caralluma
Caralluma melanantha,yes,Caralluma
Caralluma moniliformis,yes,Caralluma
Caralluma penicillata,yes,Caralluma
Caralluma peschii,yes,Caralluma
Caralluma pillansii,yes,Caralluma
Caralluma plicatiloba,yes,Caralluma
Caralluma socotrana,yes,Caralluma
Caralluma subulata,yes,Caralluma
Caralluma tubiformis,yes,Caralluma
Cardamine garaventae,yes,Cardamine
Cardiomanes,yes,HYMENOPHYLLACEAE
Cardiomanes reniforme,yes,Cardiomanes
Carex aquatilis,yes,Carex
Carex hendersonii,yes,Carex
Carica candamarcensis,yes,Carica
Carissa grandiflora,yes,Carissa
Carissa haematocarpa,yes,Carissa
Carmichaelia appressa,yes,Carmichaelia
Carpanthea,yes,AIZOACEAE
Carpanthea pomeridiana,yes,Carpanthea
Carpinus laxiflora,yes,Carpinus
Carpinus laxiflora var. davidii,yes,Carpinus laxiflora
Carpobrotus aequilaterus,yes,Carpobrotus
Carpobrotus edulis,yes,Carpobrotus
Carruanthus,yes,AIZOACEAE
Carruanthus ringens,yes,Carruanthus
Carthamus arborescens,yes,Carthamus
Carya laciniosa,yes,Carya
Caryopteris incana (Thunb.) Miq. 'Blue Billows',yes,Caryopteris incana (Thunb.) Miq.
Cassia abbreviata,yes,Cassia
Cassia abbreviata var. granitica,yes,Cassia abbreviata
Cassia bicapsularis,yes,Cassia
Cassia bicapsularis var. augusti,yes,Cassia bicapsularis
Cassia brewsteri,yes,Cassia
Cassia corymbosa,yes,Cassia
Cassia goldmanii,yes,Cassia
Cassia latopetiolata,yes,Cassia
Cassia nairobensis,yes,Cassia
Cassia occidentalis,yes,Cassia
Cassia splendida,yes,Cassia
Cassinia uncata,yes,Cassinia
Cassiope mertensiana,yes,Cassiope
Cassytha,yes,LAURACEAE
Cassytha ciliolata,yes,Cassytha
Castanea dentata,yes,Castanea
Castanea pumila,yes,Castanea
Castanea pumila var. ashei,yes,Castanea pumila
Castilleja latifolia,yes,Castilleja
Casuarina cristata,yes,Casuarina
Casuarina drummondiana,yes,Casuarina
Casuarina fraseriana,yes,Casuarina
Casuarina glauca,yes,Casuarina
Casuarina helmsii,yes,Casuarina
Casuarina huegeliana,yes,Casuarina
Casuarina humilis,yes,Casuarina
Casuarina monilifera,yes,Casuarina
Casuarina nana,yes,Casuarina
Casuarina thuyoides,yes,Casuarina
Catalpa,yes,BIGNONIACEAE
Catalpa ovata,yes,Catalpa
Cattleya gaskelliana,yes,Cattleya
Cattleya harrisoniana,yes,Cattleya
Cattleya luteola,yes,Cattleya
Cattleyopsis,yes,ORCHIDACEAE
Cattleyopsis lindenii,yes,Cattleyopsis
Caulokaempferia,yes,ZINGIBERACEAE
Caulokaempferia sikkimensis (King ex Baker) K. Larsen,yes,Caulokaempferia
Cavendishia capitata,yes,Cavendishia
Ceanothus greggii,yes,Ceanothus
Ceanothus greggii var. perplexans,yes,Ceanothus greggii
Ceanothus insularis,yes,Ceanothus
Ceanothus parvifolius,yes,Ceanothus
Ceanothus ramulosus var. fascicularis,yes,Ceanothus ramulosus
Cecropia peltata,yes,Cecropia
Cedrela fissilis,yes,Cedrela
Cedrela odorata,yes,Cedrela
Cedrus atlantica,yes,Cedrus
"Ceiba speciosa (A. St.-Hil., A. Juss. &amp; Cambess.) Ravenna",yes,Ceiba
Celmisia asteliifolia,yes,Celmisia
Celmisia laricifolia,yes,Celmisia
Centaurea arborea,yes,Centaurea
Centaurea clementei,yes,Centaurea
Centaurium favargeri,yes,Centaurium
Centaurium floribundum,yes,Centaurium
Centaurium tenuiflorum (Hoffmanns. &amp; Link) Janch.,yes,Centaurium
Centaurium venustum,yes,Centaurium
Centradenia inaequilateralis,yes,Centradenia
Centrolepis,yes,RESTIONACEAE
Centrolepis polygyna,yes,Centrolepis
Centropetalum,yes,ORCHIDACEAE
Centropetalum ionantherum,yes,Centropetalum
Cephalaria alpina,yes,Cephalaria
Cephalocereus albispinus,yes,Cephalocereus
Cephalocereus gounellei,yes,Cephalocereus
Cephalocereus nobilis,yes,Cephalocereus
Cephalocereus salvadorensis,yes,Cephalocereus
Cephalocrotonopsis,yes,EUPHORBIACEAE
Cephalocrotonopsis socotranus,yes,Cephalocrotonopsis
Cephalophora,yes,ASTERACEAE
Cephalophora litoralis,yes,Cephalophora
Cephalophyllum aureorubrum,yes,Cephalophyllum
Cephalophyllum caledonicum,yes,Cephalophyllum
Cephalophyllum herrei,yes,Cephalophyllum
Cephalophyllum herrei var. decumbens,yes,Cephalophyllum herrei
Cephalophyllum inaequale,yes,Cephalophyllum
Cephalophyllum pillansii,yes,Cephalophyllum
Cephalophyllum regale,yes,Cephalophyllum
Cephalophyllum rhodanthum,yes,Cephalophyllum
Cerastium latifolium,yes,Cerastium
Cerastium uniflorum,yes,Cerastium
Ceratocarpus,yes,AMARANTHACEAE
Ceratocarpus arenarius,yes,Ceratocarpus
Ceratopteris,yes,PTERIDACEAE
Ceratopteris thalictroides,yes,Ceratopteris
Cercocarpus betuloides var. blancheae,no,
Cereus braunii,yes,Cereus
Cereus chalybaeus,yes,Cereus
Cereus chilensis,yes,Cereus
Cereus coerulescens,yes,Cereus
Cereus marginatus,yes,Cereus
Cereus tetragonus,yes,Cereus
Cereus variabilis,yes,Cereus
Ceropegia africana,yes,Ceropegia
Ceropegia ballyana,yes,Ceropegia
Ceropegia barklyi,yes,Ceropegia
Ceropegia crassifolia,yes,Ceropegia
Ceropegia haygarthii,yes,Ceropegia
Ceropegia krainzii,yes,Ceropegia
Ceropegia linearis,yes,Ceropegia
Ceropegia linearis subsp. linearis,yes,Ceropegia linearis
Ceropegia meyeri-johannis,yes,Ceropegia
Ceropegia oculata,yes,Ceropegia
Ceropegia rendallii,yes,Ceropegia
Ceropegia variegata,yes,Ceropegia
Ceropegia volubilis,yes,Ceropegia
Ceterach aureum,yes,Ceterach
Ceterach aureum var. parvifolium,yes,Ceterach aureum
Chaenactis santolinoides,yes,Chaenactis
Chaenomeles sinensis,yes,Chaenomeles
Chaenostoma,yes,SCROPHULARIACEAE
Chaenostoma hispidum,yes,Chaenostoma
Chamaecyparis obtusa var. formosana,no,
Chamaecyparis taiwanensis,yes,Chamaecyparis
Chamaedorea elegans,yes,Chamaedorea
Chamaedorea glaucifolia,yes,Chamaedorea
Chamaedorea metallica,yes,Chamaedorea
Chamaescilla spiralis,yes,Chamaescilla
Chambeyronia,yes,ARECACEAE
Chambeyronia macrocarpa,yes,Chambeyronia
Charia,yes,MELIACEAE
Charpentiera,yes,AMARANTHACEAE
Charpentiera densiflora,yes,Charpentiera
Charpentiera ovata,yes,Charpentiera
Cheilanthes californica,yes,Cheilanthes
Cheilanthes cochisensis,yes,Cheilanthes
Cheilanthes jonesii,yes,Cheilanthes
Cheilanthes meifolia,yes,Cheilanthes
Cheilanthes microphylla,yes,Cheilanthes
Cheilanthes sieberi,yes,Cheilanthes
Cheilanthes sinuata,yes,Cheilanthes
Cheilanthes sinuata var. cochisensis,yes,Cheilanthes sinuata
Cheiranthus ×,no,
Cheiranthus Ã— kewensis,no,
Cheiridopsis acuminata,yes,Cheiridopsis
Cheiridopsis comptonii,yes,Cheiridopsis
Cheiridopsis meyeri,yes,Cheiridopsis
Cheiridopsis peculiaris,yes,Cheiridopsis
Cheiridopsis speciosa,yes,Cheiridopsis
Chenopodium botrys,yes,Chenopodium
Chenopodium sandwicheum,yes,Chenopodium
Chileorebutia,yes,CACTACEAE
Chileorebutia duripulpa,yes,Chileorebutia
Chileorebutia odieri,yes,Chileorebutia
Chlidanthus,yes,AMARYLLIDACEAE
Chlidanthus boliviensis,yes,Chlidanthus
Chloris,yes,POACEAE
Chloris distichophylla,yes,Chloris
Chondropetalum microcarpum,yes,Chondropetalum
Chondrorhyncha caloglossa,yes,Chondrorhyncha
Chordospartium stevensonii,yes,Chordospartium
Choretrum,yes,SANTALACEAE
Choretrum glomeratum,yes,Choretrum
Chorisia insignis,yes,Chorisia
Chorizanthe fimbriata,yes,Chorizanthe
Chorizema,yes,FABACEAE
Chorizema cordatum,yes,Chorizema
Chorizema dicksonii,yes,Chorizema
Chorizema ilicifolium,yes,Chorizema
Chrozophora,yes,EUPHORBIACEAE
Chrozophora hierosolymitana,yes,Chrozophora
Chrysanthemum mawii,yes,Chrysanthemum
Chuquiraga rotundifolia,yes,Chuquiraga
Chuquiraga spinosa,yes,Chuquiraga
Chuquiraga ulicina,yes,Chuquiraga
Chuquiraga ulicina var. incana,yes,Chuquiraga ulicina
Cibotium schiedei,yes,Cibotium
Cicca,yes,PHYLLANTHACEAE
Cicca acida,yes,Cicca
Cinnamomum cassia,yes,Cinnamomum
Circaea alpina var. pacifica,no,
Cirrhopetalum longiflorum,yes,Cirrhopetalum
Cirsium subcoriaceum,yes,Cirsium
Cissus aralioides,yes,Cissus
Cissus arguta,yes,Cissus
Cissus betiformis,yes,Cissus
Cissus crameriana,yes,Cissus
Cissus discolor,yes,Cissus
Cissus sue,yes,Cissus
Cistus canariensis,yes,Cistus
Citriobatus multiflorus,yes,Citriobatus
Cladothamnus pyroliflorus,yes,Cladothamnus
Clarkia epilobioides,yes,Clarkia
Clarkia stellata,yes,Clarkia
Claytonia nevadensis,yes,Claytonia
Claytonia umbellata,yes,Claytonia
Cleistocactus baumannii var. flavispinus,no,
Cleistocactus crassicaulis,yes,Cleistocactus
Cleistocactus dependens,yes,Cleistocactus
Cleistocactus morawetzianus,yes,Cleistocactus
Cleistocactus morawetzianus var. pycnacanthus,yes,Cleistocactus morawetzianus
Clematis dioica,yes,Clematis
Clematis grossa,yes,Clematis
Clematis longicauda,yes,Clematis
Clematis mandshurica,yes,Clematis
Cleome chilensis,yes,Cleome
Cleome diandra,yes,Cleome
Cleome hirta,yes,Cleome
Cleome trachycarpa,yes,Cleome
Clermontia montis-loa,yes,Clermontia
Clermontia oblongifolia,yes,Clermontia
Clermontia parviflora,yes,Clermontia
Clermontia reticulata,yes,Clermontia
Clerodendrum yunnanense,yes,Clerodendrum
Clethra arborea,yes,Clethra
Clethra castaneifolia,yes,Clethra
Clethra fimbriata,yes,Clethra
Clethra suaveolens,yes,Clethra
Cleyera japonica var. morii,no,
Clibadium,yes,ASTERACEAE
Clibadium arboreum,yes,Clibadium
Clidemia,yes,MELASTOMATACEAE
Clidemia pilosa,yes,Clidemia
Clitoria ternatea,yes,Clitoria
Clitoria ternatea var. alba,yes,Clitoria ternatea
Clusia lundellii,yes,Clusia
Cobaea pachysepala,yes,Cobaea
Coccocypselum hirsutum,yes,Coccocypselum
Coccoloba uvifera,yes,Coccoloba
Coccothrinax alta,yes,Coccothrinax
Cocculus balfourii,yes,Cocculus
Cochlospermum heteronemum,yes,Cochlospermum
Cochlospermum planchonii,yes,Cochlospermum
Codon,yes,BORAGINACEAE
Codonocarpus cotinifolius,yes,Codonocarpus
Codonopsis subsimplex,yes,Codonopsis
Codon royenii,yes,Codon
Coffea kihansiensis,yes,Coffea
Coix aquatica,yes,Coix
Colchicum cupanii,yes,Colchicum
Colchicum hungaricum,yes,Colchicum
Colchicum stevenii,yes,Colchicum
Coleonema album,yes,Coleonema
Coleonema pulchrum,yes,Coleonema
Collinsia corymbosa,yes,Collinsia
Collinsia wrightii,yes,Collinsia
Colophospermum,yes,FABACEAE
Colophospermum mopane,yes,Colophospermum
Coloradoa,yes,CACTACEAE
Coloradoa mesae-verdae,yes,Coloradoa
Columnea percrassa,yes,Columnea
Colutea orientalis,yes,Colutea
Colysis elliptica,yes,Colysis
Comarostaphylis arguta,yes,Comarostaphylis
Comarostaphylis diversifolia var. planifolia,no,
Comarostaphylis rupestris,yes,Comarostaphylis
Combretum millerianum,yes,Combretum
Combretum zeyheri,yes,Combretum
Comesperma confertum,yes,Comesperma
Commelina coelestis,yes,Commelina
Commersonia pulchella,yes,Commersonia
Condaliopsis,yes,RHAMNACEAE
Condaliopsis parryi,yes,Condaliopsis
Coniogramme intermedia,yes,Coniogramme
CONNARACEAE,no,
Conocarpus,yes,COMBRETACEAE
Conocarpus erectus,yes,Conocarpus
Conophytum bicarinatum,yes,Conophytum
Conophytum elongatum,yes,Conophytum
Conophytum hians,yes,Conophytum
Conophytum luiseae,yes,Conophytum
Conophytum luteum,yes,Conophytum
Conophytum miserum,yes,Conophytum
Conophytum piluliforme,yes,Conophytum
Conophytum polulum,yes,Conophytum
Conophytum uviforme,yes,Conophytum
Conospermum,yes,PROTEACEAE
Conospermum patens,yes,Conospermum
Conzattia,yes,FABACEAE
Conzattia sericea,yes,Conzattia
Copiapoa hypogaea,yes,Copiapoa
Coprosma hirtella,yes,Coprosma
Coprosma petriei,yes,Coprosma
Coprosma repens,yes,Coprosma
Corallocarpus,yes,CUCURBITACEAE
Corallocarpus glomeruliflorus,yes,Corallocarpus
Corallorhiza,yes,ORCHIDACEAE
Corallorhiza maculata,yes,Corallorhiza
Cordia gharaf,yes,Cordia
Cordylanthus filifolius,yes,Cordylanthus
Cordyline australis Hook.f.,yes,Cordyline
Coreopsis californica,yes,Coreopsis
Coreopsis connata,yes,Coreopsis
Coreopsis douglasii,yes,Coreopsis
Coreopsis insecta,yes,Coreopsis
Coreopsis mutica,yes,Coreopsis
Coriaria angustissima,yes,Coriaria
Coriaria japonica,yes,Coriaria
Cornus kousa F. Buerger ex Miq.,yes,Cornus
Corokia macrocarpa,yes,Corokia
Coronilla coronata,yes,Coronilla
Coronilla glauca,yes,Coronilla
Correa pulchella,yes,Correa
Correa ventricosa,yes,Correa
Corrigiola,yes,CARYOPHYLLACEAE
Corrigiola telephiifolia,yes,Corrigiola
Corryocactus ayopayanus,yes,Corryocactus
Corryocactus chachapoyensis,yes,Corryocactus
Corryocactus squarrosus,yes,Corryocactus
Corryocactus tarijensis,yes,Corryocactus
Cortaderia atacamensis,yes,Cortaderia
Cortaderia selloana,yes,Cortaderia
Cortusa turkestanica,yes,Cortusa
Corydalis caseana,yes,Corydalis
Corydalis cava subsp. marschalliana,no,
Corydalis chaerophylla,yes,Corydalis
Corydalis halleri,yes,Corydalis
Corydalis stricta,yes,Corydalis
Corypha,yes,ARECACEAE
Coryphantha aggregata,yes,Coryphantha
Coryphantha bumamma,yes,Coryphantha
Coryphantha connivens,yes,Coryphantha
Coryphantha deserti,yes,Coryphantha
Coryphantha echinoidea,yes,Coryphantha
Coryphantha jaumavei,yes,Coryphantha
Coryphantha nellieae,yes,Coryphantha
Coryphantha pycnacantha,yes,Coryphantha
Coryphantha raphidacantha,yes,Coryphantha
Cotoneaster adpressus,yes,Cotoneaster
Cotoneaster conspicuus,yes,Cotoneaster
Cotoneaster dammeri,yes,Cotoneaster
Cotoneaster dammeri var. radicans,yes,Cotoneaster dammeri
Cotoneaster harrysmithii,yes,Cotoneaster
Cotoneaster lacei,yes,Cotoneaster
Cotoneaster splendens,yes,Cotoneaster
Cotula coronopifolia,yes,Cotula
Cotyledon cacalioides,yes,Cotyledon
Cotyledon coruscans,yes,Cotyledon
Cotyledon decussata,yes,Cotyledon
Cotyledon flanaganii,yes,Cotyledon
Cotyledon grandiflora,yes,Cotyledon
Cotyledon pillansii,yes,Cotyledon
Cotyledon schaeferiana,yes,Cotyledon
Cotyledon sinus-alexandri,yes,Cotyledon
Cotyledon velutina,yes,Cotyledon
Crambe arborea,yes,Crambe
Crambe arborea var. indivisa,yes,Crambe arborea
Crambe gigantea,yes,Crambe
Crambe kotschyana,yes,Crambe
Crassula abyssinica,yes,Crassula
Crassula acutifolia,yes,Crassula
Crassula alstonii,yes,Crassula
Crassula barbata,yes,Crassula
Crassula bolusii,yes,Crassula
Crassula browniana,yes,Crassula
Crassula cinerea,yes,Crassula
Crassula coleae,yes,Crassula
Crassula dasyphylla,yes,Crassula
Crassula dregei,yes,Crassula
Crassula heterotricha,yes,Crassula
Crassula karasana,yes,Crassula
Crassula klinghardtensis,yes,Crassula
Crassula lettyae,yes,Crassula
Crassula lutea,yes,Crassula
Crassula marginalis,yes,Crassula
Crassula mesembryanthemopsis,yes,Crassula
Crassula mesembryanthoides,yes,Crassula
Crassula montis-draconis,yes,Crassula
Crassula rauhii,yes,Crassula
Crassula schmidtii,yes,Crassula
Crassula septas,yes,Crassula
Crassula sladenii,yes,Crassula
Crataegus boyntonii,yes,Crataegus
Crataegus marshallii,yes,Crataegus
Crataegus oxyacantha var. paulii,no,
Crataegus phaenopyrum,yes,Crataegus
Crataegus rotundata,yes,Crataegus
Crataegus submollis,yes,Crataegus
Cremastra,yes,ORCHIDACEAE
Cremastra triloba,yes,Cremastra
Cremastra variabilis,yes,Cremastra
Crepis,yes,ASTERACEAE
Crepis biennis,yes,Crepis
Crinum jagus,yes,Crinum
Crinum ornatum,yes,Crinum
Crocosmia masoniorum,yes,Crocosmia
Crocus crewei,yes,Crocus
Crocus korolkowii,yes,Crocus
Crocus olivieri,yes,Crocus
Crocus sativus var. cartwrightianus,no,
Crocus sieberi,yes,Crocus
Crocus sieberi var. atticus,yes,Crocus sieberi
Crotalaria agatiflora,yes,Crotalaria
Crotalaria capensis,yes,Crotalaria
Crotalaria cunninghamii,yes,Crotalaria
Crotalaria incana,yes,Crotalaria
Crotalaria retusa,yes,Crotalaria
Croton adspersus,yes,Croton
Croton ruizianus,yes,Croton
Crowea,yes,RUTACEAE
Crowea angustifolia,yes,Crowea
Crowea dentata,yes,Crowea
Crypsinus,yes,POLYPODIACEAE
Crypsinus hastatus,yes,Crypsinus
Cryptantha intermedia,yes,Cryptantha
Cryptophoranthus,yes,ORCHIDACEAE
Cryptophoranthus endresianus,yes,Cryptophoranthus
Cryptostegia,yes,APOCYNACEAE
Cryptostegia madagascariensis,yes,Cryptostegia
Cryptostylis,yes,ORCHIDACEAE
Cryptostylis erythroglossa,yes,Cryptostylis
Ctenitis sinii,yes,Ctenitis
Cucumis dipsaceus,yes,Cucumis
Cudrania,yes,MORACEAE
Cupaniopsis,yes,SAPINDACEAE
Cupaniopsis anacardioides,yes,Cupaniopsis
Cuphea ciliata,yes,Cuphea
Cuphea lanceolata,yes,Cuphea
Cuphea platycentra,yes,Cuphea
Cupressus obtusa (Siebold &amp; Zucc.) Endl. var. formosana (Hayata) Hayata,yes,Chamaecyparis obtusa (Siebold &amp; Zucc.) Endl.
Cussonia angolensis,yes,Cussonia
Cyanea acuminata,yes,Cyanea
Cyanea atra,yes,Cyanea
Cyanea shipmanii,yes,Cyanea
Cyanea tritomantha,yes,Cyanea
Cyanostegia,yes,LAMIACEAE
Cyanostegia angustifolia,yes,Cyanostegia
Cyathea aramaganensis,yes,Cyathea
Cyathea fauriei,yes,Cyathea
Cyathea manniana,yes,Cyathea
Cyathodes abietina,yes,Cyathodes
Cyathodes acerosa,yes,Cyathodes
Cyathodes colensoi,yes,Cyathodes
Cyathodes fraseri,yes,Cyathodes
Cyathodes parvifolia,yes,Cyathodes
Cyclamen cyprium,yes,Cyclamen
Cyclamen europaeum,yes,Cyclamen
Cyclamen libanoticum,yes,Cyclamen
Cyclamen neapolitanum,yes,Cyclamen
Cyclamen repandum,yes,Cyclamen
Cyclamen rohlfsianum,yes,Cyclamen
Cyclamen vernum,yes,Cyclamen
Cyclanthera,yes,CUCURBITACEAE
Cyclanthera explodens,yes,Cyclanthera
Cyclea,yes,MENISPERMACEAE
Cyclea hypoglauca,yes,Cyclea
Cyclocarya,yes,JUGLANDACEAE
Cyclocarya paliurus,yes,Cyclocarya
Cyclopia,yes,FABACEAE
Cyclopia tenuifolia,yes,Cyclopia
Cycnoches chlorochilon,yes,Cycnoches
Cylindrophyllum calamiforme,yes,Cylindrophyllum
Cylista,yes,FABACEAE
Cylista scariosa,yes,Cylista
Cymbidiella,yes,ORCHIDACEAE
Cymbidiella rhodochila,yes,Cymbidiella
Cynanchum perrieri,yes,Cynanchum
Cynoglossum amplifolium,yes,Cynoglossum
CYNOMORIACEAE,no,
Cynomorium,yes,CYNOMORIACEAE
Cynomorium coccineum,yes,Cynomorium
Cyperus alternifolius subsp. flabelliformis Kük.,yes,Cyperus alternifolius L.
Cyphomandra ulei,yes,Cyphomandra
Cypripedium fasciculatum,yes,Cypripedium
Cypripedium montanum,yes,Cypripedium
Cypripedium pubescens,yes,Cypripedium
Cyrtoglottis,yes,ORCHIDACEAE
Cyrtoglottis peruviana,yes,Cyrtoglottis
Cyrtopodium poecilum,yes,Cyrtopodium
Cyrtorchis arcuata subsp. arcuata,no,
Cyrtorchis arcuata subsp. variabilis,no,
Cyrtorchis arcuata var. whytei,no,
Cyrtorchis hamata,yes,Cyrtorchis
Cystopteris fragilis var. tenuifolia,no,
Cytisus proliferus,yes,Cytisus
Cytisus proliferus var. canariae,yes,Cytisus proliferus
Cytisus proliferus var. palmensis,yes,Cytisus proliferus
Cytisus virgatus,yes,Cytisus
Dacrydium franklinii,yes,Dacrydium
Dactylopsis,yes,AIZOACEAE
Dactylopsis digitata,yes,Dactylopsis
Daemonorops,yes,ARECACEAE
Daemonorops margaritae,yes,Daemonorops
Damnacanthus,yes,RUBIACEAE
Damnacanthus indicus,yes,Damnacanthus
Dampiera,yes,GOODENIACEAE
Dampiera spicigera,yes,Dampiera
Dampiera wellsiana,yes,Dampiera
Danaea elliptica,yes,Danaea
Danaea nodosa,yes,Danaea
Daphne longilobata,yes,Daphne
Darwinia citriodora,yes,Darwinia
Darwinia neildiana,yes,Darwinia
Darwinia speciosa,yes,Darwinia
Dasypogon,yes,DASYPOGONACEAE
DASYPOGONACEAE,no,
Datura ×,no,
Datura Ã— candida,no,
Daubentonia,yes,FABACEAE
Daubentonia punicea,yes,Daubentonia
Davallia chaerophylloides,yes,Davallia
Davallia chaerophylloides var. bicornis,yes,Davallia chaerophylloides
Daviesia corymbosa,yes,Daviesia
Degeneria,yes,DEGENERIACEAE
DEGENERIACEAE,no,
Degeneria vitiensis,yes,Degeneria
Delarbrea,yes,MYODOCARPACEAE
Delarbrea longicarpa,yes,Delarbrea
Delia,yes,CARYOPHYLLACEAE
Delosperma lineare,yes,Delosperma
Delosperma luteum,yes,Delosperma
Delosperma mariae,yes,Delosperma
Delosperma steytlerae,yes,Delosperma
Delosperma uitenhagense,yes,Delosperma
Delostoma roseum,yes,Delostoma
Delphinium dasyanthum,yes,Delphinium
Delphinium dasycaulon,yes,Delphinium
Delphinium depauperatum,yes,Delphinium
Delphinium leroyi,yes,Delphinium
Delphinium parishii,yes,Delphinium
Delphinium semibarbatum,yes,Delphinium
Dendrobium amoenum,yes,Dendrobium
Dendrobium dixanthum,yes,Dendrobium
Dendrobium guamense,yes,Dendrobium
Dendrobium kraemeri,yes,Dendrobium
Dendrobium moniliforme,yes,Dendrobium
Dendrobium moorei,yes,Dendrobium
Dendrobium nanarauticola,yes,Dendrobium
Dendrobium ponapense,yes,Dendrobium
Dendrobium rotundatum,yes,Dendrobium
Dendrobium wattii,yes,Dendrobium
Dendrobium wilmsianum,yes,Dendrobium
Dendrocalamus,yes,POACEAE
Dendrocalamus giganteus,yes,Dendrocalamus
Dendrocereus,yes,CACTACEAE
Dendrocereus nudiflorus,yes,Dendrocereus
Dendrocnide,yes,URTICACEAE
Dendrocnide excelsa,yes,Dendrocnide
Dendrophylax fawcettii,yes,Dendrophylax
Dendrostellera,yes,THYMELAEACEAE
Dendrostellera lessertii,yes,Dendrostellera
Dennstaedtia arborescens,yes,Dennstaedtia
Dennstaedtia resinifera,yes,Dennstaedtia
Descurainia gonzalezii,yes,Descurainia
Desmodium cinerascens,yes,Desmodium
Desmodium conzattii,yes,Desmodium
Desmodium gyrans,yes,Desmodium
Deuterocohnia chrysantha,yes,Deuterocohnia
Diamorpha,yes,CRASSULACEAE
Diamorpha cymosa,yes,Diamorpha
Dianthus corymbosus,yes,Dianthus
Diaphananthe fragrantissima,yes,Diaphananthe
Dicentra pauciflora,yes,Dicentra
Dichaea hystricina,yes,Dichaea
Dichopogon,yes,ASPARAGACEAE
Dichopogon fimbriatus,yes,Dichopogon
Dichorisandra thyrsiflora,yes,Dichorisandra
Dichrostachys,yes,FABACEAE
Dichrostachys cinerea,yes,Dichrostachys
Dicksonia baudouinii,yes,Dicksonia
Didymaea,yes,RUBIACEAE
Didymaea mexicana,yes,Didymaea
Didymaotus,yes,AIZOACEAE
Didymochlaena,yes,DIDYMOCHLAENACEAE
DIDYMOCHLAENACEAE,no,
Didymochlaena truncatula,yes,Didymochlaena
Dieffenbachia picta,yes,Dieffenbachia
Dierama pendulum,yes,Dierama
Diervilla middendorffiana,yes,Diervilla
Dietes prolongata,yes,Dietes
Digitalis ciliata,yes,Digitalis
Digitalis dubia,yes,Digitalis
Dilatris ixioides,yes,Dilatris
Dillenia philippinensis,yes,Dillenia
Dillwynia hispida,yes,Dillwynia
Dinteranthus inexpectatus,yes,Dinteranthus
Dinteranthus puberulus,yes,Dinteranthus
Dioscorea floribunda,yes,Dioscorea
Diospyros vaccinioides,yes,Diospyros
Diplacus aridus,yes,Diplacus
Diplandra,yes,ONAGRACEAE
Diplandra lopezioides,yes,Diplandra
Diplaziopsis javanica,yes,Diplaziopsis
Diplazium delitescens,yes,Diplazium
Diplazium induratum,yes,Diplazium
Diplazium pariens,yes,Diplazium
Diplazium proliferum,yes,Diplazium
Diplazium welwitschii,yes,Diplazium
Diplocaulobium,yes,ORCHIDACEAE
Diplocaulobium carolinense,yes,Diplocaulobium
Diploclisia,yes,MENISPERMACEAE
Diploclisia glaucescens,yes,Diploclisia
Diplocyatha,yes,APOCYNACEAE
Diplocyatha ciliata,yes,Diplocyatha
Diplolaena,yes,RUTACEAE
Diplolaena angustifolia,yes,Diplolaena
Diplopappus,yes,ASTERACEAE
Diplopappus filifolius,yes,Diplopappus
Diplostephium,yes,ASTERACEAE
Diplostephium cajamarquillense,yes,Diplostephium
Dipsacus fullonum,yes,Dipsacus
Dipsacus pinnatifidus,yes,Dipsacus
Dipsacus sylvestris,yes,Dipsacus
Dirachma,yes,DIRACHMACEAE
