Name,Has_Broader,Broader_Term
Aizoon,yes,AIZOACEAE
Aizoon quadrifidum,yes,Aizoon
Akersia,yes,CACTACEAE
Akersia roseiflora,yes,Akersia
Albizia lophantha,yes,Albizia
Albuca kirkii,yes,Albuca
Albuca melleri,yes,Albuca
Albuca namaquensis,yes,Albuca
Albuca nyikensis,yes,Albuca
Alciope,yes,ASTERACEAE
Alectryon,yes,SAPINDACEAE
Alectryon tomentosus,yes,Alectryon
Aleurites moluccanus,yes,Aleurites
Alisma geyeri,yes,Alisma
Alisma lanceolatum,yes,Alisma
Alisma wahlenbergii,yes,Alisma
Allamanda,yes,APOCYNACEAE
Allamanda cathartica,yes,Allamanda
Alliaria,yes,BRASSICACEAE
Alliaria petiolata,yes,Alliaria
Allium albopilosum,yes,Allium
Allium anceps,yes,Allium
Allium flavescens,yes,Allium
Allium giganteum,yes,Allium
Allium howellii var. clokeyi,no,
Allium scorodoprasum,yes,Allium
Allium triquetrum,yes,Allium
Allium ursinum,yes,Allium
Alocasia cucullata,yes,Alocasia
Alocasia longiloba,yes,Alocasia
Aloe ×,no,
Aloe Ã— beguinii,no,
Aloe affinis,yes,Aloe
Aloe antandroi,yes,Aloe
Aloe ballyi,yes,Aloe
Aloe bulbillifera,yes,Aloe
Aloe chortolirioides,yes,Aloe
Aloe decurva,yes,Aloe
Aloe duckeri,yes,Aloe
Aloe ecklonis,yes,Aloe
Aloe forbesii,yes,Aloe
Aloe gerstneri,yes,Aloe
Aloe helenae,yes,Aloe
Aloe kilifiensis,yes,Aloe
Aloe linearifolia,yes,Aloe
Aloe mzimbana,yes,Aloe
Aloe otallensis,yes,Aloe
Aloe percrassa,yes,Aloe
Aloe richardsiae,yes,Aloe
Aloe ruspoliana,yes,Aloe
Aloe scobinifolia,yes,Aloe
Aloe verdoorniae,yes,Aloe
Aloe versicolor,yes,Aloe
Aloe volkensii,yes,Aloe
Aloe vossii,yes,Aloe
Aloinopsis hilmarii,yes,Aloinopsis
Aloinopsis thudichumii,yes,Aloinopsis
Alonsoa acutifolia,yes,Alonsoa
Alophia pulchella,yes,Alophia
Alpinia malaccensis,yes,Alpinia
Alpinia officinarum,yes,Alpinia
Alsophila excelsa,yes,Alsophila
Alstonia scholaris,yes,Alstonia
Alstroemeria recumbens,yes,Alstroemeria
Alvaradoa,yes,PICRAMNIACEAE
Alvaradoa amorphoides,yes,Alvaradoa
Alyssum fulvescens,yes,Alyssum
Alyssum fulvescens var. fulvescens,yes,Alyssum fulvescens
Alyssum serpyllifolium,yes,Alyssum
Alyssum stenostachyum,yes,Alyssum
Amana,yes,LILIACEAE
Amaranthus spinosus,yes,Amaranthus
Amaryllis ferreyrae,yes,Amaryllis
Amaryllis forgetii,yes,Amaryllis
Amaryllis incachacana,yes,Amaryllis
Amaryllis mollevillquensis,yes,Amaryllis
Amaryllis reginae,yes,Amaryllis
Amaryllis vittata,yes,Amaryllis
