media handling record: fileName,taxon,Taxon record: family,objectNumber,Taxon record: naturalHistoryCommonName,fieldLocCountry,briefDescription,fieldCollector,fieldCollectionNumber,fieldCollectionDateGroup,source,accessionDate,Voucher record: Wild,Voucher record: Horticultural,reference,referenceGroup_reference,Distribution record: depositor_Plant,Distribution record: depositor_Seed,notes,deadFlag,flowerColor,comment
DeadRecords_05298,(Encelia-like shrub),COMPOSITAE?,65.1001,,"U.S.A., Calif.",2 small plts.,"W. Roderick, Mrs. M. Roderick",,,"W. Roderick, UCBG staff; Mrs. Martha Roderick, Petaluma",1965-01-07,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: SE corner of San Diego Co. 5.2.road mi. N, of most southerly crossing of US Hwy. 80 (San Diego-El Centro) at In-Ko-Pah Co. Park, 2-I-65. Ca. 1000 ft. elev. S. to SE facing slope. Cactus patch in rocks, some soil, decomposed granite. 11 Jan. 165: i plt. to Bed 5B/; 
 Permanent: 5B"
DeadRecords_05300,"(Shrub, mostly stems)",,65.1002,,"U.S.A., Calif.",4 plts.,"W. Roderick, Mrs. M. Roderick",,,"W. Roderick, UCBG staff; Mrs. Martha Roderick, Petaluma",1965-01-07,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: SE corner of San Diego Co., 5.2road mi. N. of most southerly crossing of US Hwy 80 at In-Ko-Pah Co. Park, 2-I-65. Ca. 1000 ft. alt., S. to SE facing slope. Cactus patch in rocks, some soil, decomposed granite. 11 Jan. 65: 4 plts. to bed 5B.; 
 Permanent: 5B"
DeadRecords_05306,"(legume, decid. slender erect $ items)",LEGUMINOSAE,65.1059,,"USA,Calif.",5 plts.,"W. Roderick, M. Roderick",,,"W. Roderick, UCBG staff; Mrs. Martha Roderick, Petaluma",1965-01-07,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: 1.3 road mi. W of Jacumba on US Hwy 80 (towards Live Oak Sprs.) SE corner of San Diego Co., 4-I-65. Ca. 2800 ft. alt. S to W facing slope, Creosote (Larrea divaricata) and Juniper wood. Decomposed granite, more rock than soil. Found where soil is deep. 11-I-65: 5 plts to Bed 5B.; 
 Permanent: 5B"
DeadRecords_05308,Umbellifer,UMBELLIFERAE,65.1061,,"USA, Calif.",plts.,"W. Roderick, M. Roderick",,,"W. Roderick, UCBG staff; Mrs. Martha Roderick, Petaluma",1965-01-18,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: Mr. Bruno, San Francisco Co., 16-I-65. Exposed summit and hillsides somewhat below. Amongst grasses and annuals. Full sun. 18-I-65: to bed 2.; 
 Permanent: 2"
DeadRecords_05310,Composite,Compositae,65.1142,,"U. S. A., Calif.",3 seedlings,W. Roderick,,,"W. Roderick, UCBG staff & T. Niehaus, UC Berkeley",1965-04-04,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: Los Angeles Co.    San Clemente Is., Sair Diego Go. Sand dunes, westerly side of island, near the north end, 4-IV-65."
DeadRecords_05312,Annual ( similar to Dianthus),Caryophyllaceae?,65.1166,,"U. S. A., Calif.",Ca. 15 plts.,W. Roderick,,,"W. Roderick, UCBG staff",1965-04-19,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: 4.5 road mi. E of Junction City or 3.7 road mi. W of Weaverville, Trinity Co., 16-IV-65. Ca. 2500 ft. alt. Old placer mine works. Serpentine. Rocky grit with a little clay soil. Hot S facing slope."
DeadRecords_05316,(Sexifragaseae),Saxifragaceae,65.1398,,"U.S.A., Calif.",2 cans,W. Roderick with G. Keator,,,"W. Roderick, UCBG staff.",1965-09-07,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: Shelley Creek, Del Norte Co., 6-IX-65. Ca. 2000 ft. alt. Growing on flat  sandy black muck in deep shade at edge of stream & around a spring."
DeadRecords_05318,(Sedum-like Composite),Compositae,65.1400,,"U.S.A.,Calif.",1 can,W. Roderick with G. Keator,,,"W. Roderick, UCBG staff.",1965-09-07,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: Del Norte Co., almost at Oregon border (Patrick - O'Brien Rd.), 6-IX-65. Ca. 3050 ft. alt. S facing scree slope with paving of rock. Some gritty clay betw. the rock."
DeadRecords_05338|DeadRecords_05339,Fern,,66.0128,,Australia,1 plt.,Gil Daniels,s.n.,,"Gil Daniels, Los Angeles, Calif.",1966-02-14,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: Below White Rock Peak, Redlynch Intake Rd., 2000 ft. alt., Cairns, Queensland, XII-64.; 
 Horticultural Notes: VI-66, plant dead."
DeadRecords_05388|DeadRecords_05389,(Shrub),,66.1029,,"U.S.A.,Calif.",seedling,W. Roderick,,3-IV-66,W.E. Roderick U.C.G.G. staff,1966-04-11,,,,,,,,True,,"Added from dead card, 2025: 
 Locality: Kingston Mount., San Bernardino Co., 3=IV-66, W. Roderick. Ca. 5000ft,    sand. Full sun. Low shrubs and alt. Dry wash, gravel and yucca."
